from;to;tipo;cite
br-tribunal-regional-federal-da-5a-regiao;br-superior-tribunal-de-justica;integra;"CF/88 arts. 107-108; Lei 7.727/1989"
br-tribunal-regional-federal-da-6a-regiao;br-superior-tribunal-de-justica;integra;Lei 14.226/2021
br-tribunais-regionais-do-trabalho;br-tribunal-superior-do-trabalho;integra;CF/88 arts. 112-115
br-tribunais-regionais-eleitorais;br-tribunal-superior-eleitoral;integra;CF/88 art. 120
br-conselho-monetario-nacional;br-ministerio-da-fazenda;integra;"Lei 4.595/1964 arts. 2º-4º; Lei 9.069/1995 art. 8º"
br-comite-de-politica-monetaria;br-banco-central-do-brasil;integra;"Circular BCB 2.698/1996; Resolução BCB 61/2021"
br-conselho-nacional-de-politica-energetica;br-ministerio-de-minas-e-energia;integra;Lei 9.478/1997 art. 2º
br-conselho-nacional-do-meio-ambiente;br-ministerio-do-meio-ambiente-e-mudanca-do-clima;integra;Lei 6.938/1981 art. 6º II e art. 8º
br-conselho-nacional-de-saude;br-ministerio-da-saude;integra;"Lei 8.142/1990 art. 1º; Decreto 5.839/2006"
br-conselho-nacional-de-educacao;br-ministerio-da-educacao;integra;Lei 9.131/1995 arts. 7º-9º
br-camara-de-comercio-exterior;br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;integra;"Lei 14.600/2023 art. 2º; Decreto 11.428/2023"
br-conselho-nacional-de-assistencia-social;br-ministerio-do-desenvolvimento-social;integra;Lei 8.742/1993 arts. 17-18
br-conselho-nacional-de-transito;br-ministerio-dos-transportes;integra;Lei 9.503/1997 arts. 7º e 10
br-ministro-de-estado-da-agricultura-e-pecuaria;br-ministerio-da-agricultura-e-pecuaria;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-agricultura-e-pecuaria;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-das-cidades;br-ministerio-das-cidades;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-das-cidades;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-ciencia-tecnologia-e-inovacao;br-ministerio-da-ciencia-tecnologia-e-inovacao;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-ciencia-tecnologia-e-inovacao;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-das-comunicacoes;br-ministerio-das-comunicacoes;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-das-comunicacoes;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-cultura;br-ministerio-da-cultura;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-cultura;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-defesa;br-ministerio-da-defesa;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-defesa;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-desenvolvimento-agrario;br-ministerio-do-desenvolvimento-agrario;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-desenvolvimento-agrario;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-desenvolvimento-social;br-ministerio-do-desenvolvimento-social;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-desenvolvimento-social;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-desenvolvimento-industria-comercio-e-servicos;br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-desenvolvimento-industria-comercio-e-servicos;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-dos-direitos-humanos-e-da-cidadania;br-ministerio-dos-direitos-humanos-e-da-cidadania;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-dos-direitos-humanos-e-da-cidadania;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-educacao;br-ministerio-da-educacao;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-educacao;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-empreendedorismo;br-ministerio-do-empreendedorismo;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-empreendedorismo;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-esporte;br-ministerio-do-esporte;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-esporte;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-fazenda;br-ministerio-da-fazenda;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-fazenda;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-gestao;br-ministerio-da-gestao;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-gestao;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-igualdade-racial;br-ministerio-da-igualdade-racial;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-igualdade-racial;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-integracao-e-do-desenvolvimento-regional;br-ministerio-da-integracao-e-do-desenvolvimento-regional;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-integracao-e-do-desenvolvimento-regional;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-justica-e-seguranca-publica;br-ministerio-da-justica-e-seguranca-publica;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-justica-e-seguranca-publica;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-meio-ambiente-e-mudanca-do-clima;br-ministerio-do-meio-ambiente-e-mudanca-do-clima;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-meio-ambiente-e-mudanca-do-clima;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-de-minas-e-energia;br-ministerio-de-minas-e-energia;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-de-minas-e-energia;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-das-mulheres;br-ministerio-das-mulheres;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-das-mulheres;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-pesca-e-aquicultura;br-ministerio-da-pesca-e-aquicultura;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-pesca-e-aquicultura;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-planejamento-e-orcamento;br-ministerio-do-planejamento-e-orcamento;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-planejamento-e-orcamento;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-de-portos-e-aeroportos;br-ministerio-de-portos-e-aeroportos;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-de-portos-e-aeroportos;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-dos-povos-indigenas;br-ministerio-dos-povos-indigenas;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-dos-povos-indigenas;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-previdencia-social;br-ministerio-da-previdencia-social;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-previdencia-social;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-das-relacoes-exteriores;br-ministerio-das-relacoes-exteriores;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-das-relacoes-exteriores;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-saude;br-ministerio-da-saude;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-da-saude;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-trabalho-e-emprego;br-ministerio-do-trabalho-e-emprego;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-trabalho-e-emprego;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-dos-transportes;br-ministerio-dos-transportes;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-dos-transportes;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-do-turismo;br-ministerio-do-turismo;chefia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-presidente-da-republica;br-ministro-de-estado-do-turismo;nomeia;"CF/88 arts. 84 I e 87; Lei 14.600/2023 art. 19"
br-ministro-de-estado-da-controladoria-geral-da-uniao;br-controladoria-geral-da-uniao;chefia;Lei 14.600/2023 art. 46
br-presidente-da-republica;br-ministro-de-estado-da-controladoria-geral-da-uniao;nomeia;Lei 14.600/2023 art. 46
br-ministro-chefe-casa-civil;br-casa-civil;chefia;Lei 14.600/2023 art. 46
br-presidente-da-republica;br-ministro-chefe-casa-civil;nomeia;Lei 14.600/2023 art. 46
br-ministro-chefe-secretaria-geral-da-presidencia;br-secretaria-geral-da-presidencia;chefia;Lei 14.600/2023 art. 46
br-presidente-da-republica;br-ministro-chefe-secretaria-geral-da-presidencia;nomeia;Lei 14.600/2023 art. 46
br-ministro-chefe-secretaria-de-relacoes-institucionais;br-secretaria-de-relacoes-institucionais;chefia;Lei 14.600/2023 art. 46
