id;tipo;subtipo;setor;anel;nome;pai;cite;official_url
br-ministerio-do-esporte;department;ministerio;executivo;2;Ministério do Esporte;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/esporte/
br-ministerio-da-fazenda;department;ministerio;executivo;2;Ministério da Fazenda;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/fazenda/
br-ministerio-da-gestao;department;ministerio;executivo;2;Ministério da Gestão e da Inovação em Serviços Públicos;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/gestao/
br-ministerio-da-igualdade-racial;department;ministerio;executivo;2;Ministério da Igualdade Racial;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/igualdaderacial/
br-ministerio-da-integracao-e-do-desenvolvimento-regional;department;ministerio;executivo;2;Ministério da Integração e do Desenvolvimento Regional;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mdr/
br-ministerio-da-justica-e-seguranca-publica;department;ministerio;executivo;2;Ministério da Justiça e Segurança Pública;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mj/
br-ministerio-do-meio-ambiente-e-mudanca-do-clima;department;ministerio;executivo;2;Ministério do Meio Ambiente e Mudança do Clima;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mma/
br-ministerio-de-minas-e-energia;department;ministerio;executivo;2;Ministério de Minas e Energia;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mme/
br-ministerio-das-mulheres;department;ministerio;executivo;2;Ministério das Mulheres;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mulheres/
br-ministerio-da-pesca-e-aquicultura;department;ministerio;executivo;2;Ministério da Pesca e Aquicultura;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mpa/
br-ministerio-do-planejamento-e-orcamento;department;ministerio;executivo;2;Ministério do Planejamento e Orçamento;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/planejamento/
br-ministerio-de-portos-e-aeroportos;department;ministerio;executivo;2;Ministério de Portos e Aeroportos;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/portos-e-aeroportos/
br-ministerio-dos-povos-indigenas;department;ministerio;executivo;2;Ministério dos Povos Indígenas;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/povosindigenas/
br-ministerio-da-previdencia-social;department;ministerio;executivo;2;Ministério da Previdência Social;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/previdencia/
br-ministerio-das-relacoes-exteriores;department;ministerio;executivo;2;Ministério das Relações Exteriores;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mre/
br-ministerio-da-saude;department;ministerio;executivo;2;Ministério da Saúde;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/saude/
br-ministerio-do-trabalho-e-emprego;department;ministerio;executivo;2;Ministério do Trabalho e Emprego;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/trabalho-e-emprego/
br-ministerio-dos-transportes;department;ministerio;executivo;2;Ministério dos Transportes;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/transportes/
br-ministerio-do-turismo;department;ministerio;executivo;2;Ministério do Turismo;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/turismo/
br-banco-central-do-brasil;department;autarquia;executivo;2;Banco Central do Brasil;;"LC 179/2021 arts. 1º, 4º e 6º; Lei 4.595/1964";https://www.bcb.gov.br/
br-receita-federal-do-brasil;department;orgao_singular;executivo;3;Secretaria Especial da Receita Federal do Brasil;br-ministerio-da-fazenda;Lei 11.457/2007 art. 2º;https://www.gov.br/receitafederal/
br-secretaria-do-tesouro-nacional;department;orgao_singular;executivo;3;Secretaria do Tesouro Nacional;br-ministerio-da-fazenda;"Decreto 92.452/1986; Lei 10.180/2001 arts. 5º-9º";https://www.gov.br/tesouronacional/
br-comissao-de-valores-mobiliarios;department;autarquia;executivo;4;Comissão de Valores Mobiliários;br-ministerio-da-fazenda;Lei 6.385/1976 arts. 5º e 6º;https://www.gov.br/cvm/
br-superintendencia-de-seguros-privados;department;autarquia;executivo;4;Superintendência de Seguros Privados;br-ministerio-da-fazenda;Decreto-Lei 73/1966 art. 35;https://www.gov.br/susep/
br-banco-do-brasil;department;sociedade_economia_mista;executivo;4;Banco do Brasil S.A.;br-ministerio-da-fazenda;"Lei 4.595/1964 art. 19; Lei 13.303/2016";https://www.bb.com.br/
br-caixa-economica-federal;department;empresa_publica;executivo;4;Caixa Econômica Federal;br-ministerio-da-fazenda;Decreto-Lei 759/1969;https://www.caixa.gov.br/
br-casa-da-moeda-do-brasil;department;empresa_publica;executivo;4;Casa da Moeda do Brasil;br-ministerio-da-fazenda;Lei 5.895/1973;https://www.casadamoeda.gov.br/
br-bndes;department;empresa_publica;executivo;4;Banco Nacional de Desenvolvimento Econômico e Social;br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;"Lei 5.662/1971; Lei 13.303/2016";https://www.bndes.gov.br/
br-instituto-nacional-da-propriedade-industrial;department;autarquia;executivo;4;Instituto Nacional da Propriedade Industrial;br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;Lei 5.648/1970;https://www.gov.br/inpi/
br-inmetro;department;autarquia;executivo;4;Instituto Nacional de Metrologia, Qualidade e Tecnologia;br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;Lei 5.966/1973;https://www.gov.br/inmetro/
br-aneel;department;agencia_reguladora;executivo;4;Agência Nacional de Energia Elétrica;br-ministerio-de-minas-e-energia;"Lei 9.427/1996; Lei 13.848/2019";https://www.gov.br/aneel/
br-anp;department;agencia_reguladora;executivo;4;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;br-ministerio-de-minas-e-energia;"Lei 9.478/1997 arts. 7º-8º; Lei 13.848/2019";https://www.gov.br/anp/
br-anm;department;agencia_reguladora;executivo;4;Agência Nacional de Mineração;br-ministerio-de-minas-e-energia;Lei 13.575/2017;https://www.gov.br/anm/
br-petrobras;department;sociedade_economia_mista;executivo;4;Petróleo Brasileiro S.A.;br-ministerio-de-minas-e-energia;"Lei 9.478/1997 arts. 61-62; Lei 13.303/2016";https://petrobras.com.br/
br-empresa-de-pesquisa-energetica;department;empresa_publica;executivo;4;Empresa de Pesquisa Energética;br-ministerio-de-minas-e-energia;Lei 10.847/2004;https://www.epe.gov.br/
br-anatel;department;agencia_reguladora;executivo;4;Agência Nacional de Telecomunicações;br-ministerio-das-comunicacoes;Lei 9.472/1997 arts. 8º e 19;https://www.gov.br/anatel/
br-correios;department;empresa_publica;executivo;4;Empresa Brasileira de Correios e Telégrafos;br-ministerio-das-comunicacoes;"Decreto-Lei 509/1969; Lei 6.538/1978";https://www.correios.com.br/
br-telebras;department;sociedade_economia_mista;executivo;4;Telecomunicações Brasileiras S.A.;br-ministerio-das-comunicacoes;"Lei 5.792/1972; Decreto 7.175/2010";https://www.telebras.com.br/
br-empresa-brasil-de-comunicacao;department;empresa_publica;executivo;4;Empresa Brasil de Comunicação;br-secretaria-de-comunicacao-social;Lei 11.652/2008;https://www.ebc.com.br/
br-anvisa;department;agencia_reguladora;executivo;4;Agência Nacional de Vigilância Sanitária;br-ministerio-da-saude;Lei 9.782/1999;https://www.gov.br/anvisa/
br-ans;department;agencia_reguladora;executivo;4;Agência Nacional de Saúde Suplementar;br-ministerio-da-saude;Lei 9.961/2000;https://www.gov.br/ans/
br-fiocruz;department;fundacao;executivo;4;Fundação Oswaldo Cruz;br-ministerio-da-saude;"Lei 5.019/1966; Decreto 4.725/2003";https://portal.fiocruz.br/
br-funasa;department;fundacao;executivo;4;Fundação Nacional de Saúde;br-ministerio-da-saude;"Lei 8.029/1990 art. 14; Decreto 100/1991";https://www.gov.br/funasa/
br-inep;department;autarquia;executivo;4;Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;br-ministerio-da-educacao;Lei 9.448/1997;https://www.gov.br/inep/
br-fnde;department;autarquia;executivo;4;Fundo Nacional de Desenvolvimento da Educação;br-ministerio-da-educacao;"Lei 5.537/1968; Decreto 9.007/2017";https://www.gov.br/fnde/
br-capes;department;fundacao;executivo;4;Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;br-ministerio-da-educacao;Lei 8.405/1992;https://www.gov.br/capes/
br-ebserh;department;empresa_publica;executivo;4;Empresa Brasileira de Serviços Hospitalares;br-ministerio-da-educacao;Lei 12.550/2011;https://www.gov.br/ebserh/
br-cnpq;department;fundacao;executivo;4;Conselho Nacional de Desenvolvimento Científico e Tecnológico;br-ministerio-da-ciencia-tecnologia-e-inovacao;Lei 6.129/1974;https://www.gov.br/cnpq/
br-finep;department;empresa_publica;executivo;4;Financiadora de Estudos e Projetos;br-ministerio-da-ciencia-tecnologia-e-inovacao;"Decreto 61.056/1967; Lei 11.540/2007";https://www.finep.gov.br/
br-inpe;department;orgao_singular;executivo;3;Instituto Nacional de Pesquisas Espaciais;br-ministerio-da-ciencia-tecnologia-e-inovacao;Decreto 11.xxx/2023 (estrutura regimental do MCTI);https://www.gov.br/inpe/
br-agencia-espacial-brasileira;department;autarquia;executivo;4;Agência Espacial Brasileira;br-ministerio-da-ciencia-tecnologia-e-inovacao;Lei 8.854/1994;https://www.gov.br/aeb/
br-cnen;department;autarquia;executivo;4;Comissão Nacional de Energia Nuclear;br-ministerio-da-ciencia-tecnologia-e-inovacao;"Lei 4.118/1962; Lei 14.222/2021";https://www.gov.br/cnen/
br-policia-federal;department;orgao_singular;executivo;3;Polícia Federal;br-ministerio-da-justica-e-seguranca-publica;"CF/88 art. 144 §1º; Lei 9.266/1996";https://www.gov.br/pf/
br-policia-rodoviaria-federal;department;orgao_singular;executivo;3;Polícia Rodoviária Federal;br-ministerio-da-justica-e-seguranca-publica;CF/88 art. 144 §2º;https://www.gov.br/prf/
br-cade;department;autarquia;executivo;4;Conselho Administrativo de Defesa Econômica;br-ministerio-da-justica-e-seguranca-publica;Lei 12.529/2011 arts. 4º-6º;https://www.gov.br/cade/
br-anpd;department;autarquia;executivo;4;Autoridade Nacional de Proteção de Dados;br-presidencia-da-republica;Lei 13.709/2018 arts. 55-A a 55-D (redação da Lei 14.460/2022);https://www.gov.br/anpd/
br-ibama;department;autarquia;executivo;4;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;br-ministerio-do-meio-ambiente-e-mudanca-do-clima;Lei 7.735/1989;https://www.gov.br/ibama/
br-icmbio;department;autarquia;executivo;4;Instituto Chico Mendes de Conservação da Biodiversidade;br-ministerio-do-meio-ambiente-e-mudanca-do-clima;Lei 11.516/2007;https://www.gov.br/icmbio/
br-ana;department;agencia_reguladora;executivo;4;Agência Nacional de Águas e Saneamento Básico;br-ministerio-da-integracao-e-do-desenvolvimento-regional;"Lei 9.984/2000; Lei 14.026/2020";https://www.gov.br/ana/
br-sudene;department;autarquia;executivo;4;Superintendência do Desenvolvimento do Nordeste;br-ministerio-da-integracao-e-do-desenvolvimento-regional;LC 125/2007;https://www.gov.br/sudene/
br-sudam;department;autarquia;executivo;4;Superintendência do Desenvolvimento da Amazônia;br-ministerio-da-integracao-e-do-desenvolvimento-regional;LC 124/2007;https://www.gov.br/sudam/
br-sudeco;department;autarquia;executivo;4;Superintendência do Desenvolvimento do Centro-Oeste;br-ministerio-da-integracao-e-do-desenvolvimento-regional;LC 129/2009;https://www.gov.br/sudeco/
br-dnocs;department;autarquia;executivo;4;Departamento Nacional de Obras Contra as Secas;br-ministerio-da-integracao-e-do-desenvolvimento-regional;Lei 4.229/1963;https://www.gov.br/dnocs/
br-codevasf;department;empresa_publica;executivo;4;Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;br-ministerio-da-integracao-e-do-desenvolvimento-regional;Lei 6.088/1974;https://www.codevasf.gov.br/
br-antt;department;agencia_reguladora;executivo;4;Agência Nacional de Transportes Terrestres;br-ministerio-dos-transportes;Lei 10.233/2001 arts. 21-26;https://www.gov.br/antt/
br-dnit;department;autarquia;executivo;4;Departamento Nacional de Infraestrutura de Transportes;br-ministerio-dos-transportes;Lei 10.233/2001 arts. 79-83;https://www.gov.br/dnit/
br-infra-sa;department;empresa_publica;executivo;4;Infra S.A.;br-ministerio-dos-transportes;"Lei 11.772/2008; Decreto 11.204/2022";https://www.infrasa.gov.br/
br-antaq;department;agencia_reguladora;executivo;4;Agência Nacional de Transportes Aquaviários;br-ministerio-de-portos-e-aeroportos;Lei 10.233/2001 arts. 21-27;https://www.gov.br/antaq/
br-anac;department;agencia_reguladora;executivo;4;Agência Nacional de Aviação Civil;br-ministerio-de-portos-e-aeroportos;Lei 11.182/2005;https://www.gov.br/anac/
br-infraero;department;empresa_publica;executivo;4;Empresa Brasileira de Infraestrutura Aeroportuária;br-ministerio-de-portos-e-aeroportos;Lei 5.862/1972;https://www.infraero.gov.br/
br-embrapa;department;empresa_publica;executivo;4;Empresa Brasileira de Pesquisa Agropecuária;br-ministerio-da-agricultura-e-pecuaria;Lei 5.851/1972;https://www.embrapa.br/
br-conab;department;empresa_publica;executivo;4;Companhia Nacional de Abastecimento;br-ministerio-da-agricultura-e-pecuaria;Lei 8.029/1990 art. 19;https://www.conab.gov.br/
br-incra;department;autarquia;executivo;4;Instituto Nacional de Colonização e Reforma Agrária;br-ministerio-do-desenvolvimento-agrario;Decreto-Lei 1.110/1970;https://www.gov.br/incra/
br-funai;department;fundacao;executivo;4;Fundação Nacional dos Povos Indígenas;br-ministerio-dos-povos-indigenas;Lei 5.371/1967;https://www.gov.br/funai/
br-inss;department;autarquia;executivo;4;Instituto Nacional do Seguro Social;br-ministerio-da-previdencia-social;Lei 8.029/1990 art. 17;https://www.gov.br/inss/
br-previc;department;autarquia;executivo;4;Superintendência Nacional de Previdência Complementar;br-ministerio-da-previdencia-social;Lei 12.154/2009;https://www.gov.br/previc/
br-ibge;department;fundacao;executivo;4;Instituto Brasileiro de Geografia e Estatística;br-ministerio-do-planejamento-e-orcamento;Lei 5.878/1973;https://www.ibge.gov.br/
br-ipea;department;fundacao;executivo;4;Instituto de Pesquisa Econômica Aplicada;br-ministerio-do-planejamento-e-orcamento;Decreto 7.142/2010;https://www.ipea.gov.br/
br-enap;department;fundacao;executivo;4;Escola Nacional de Administração Pública;br-ministerio-da-gestao;"Lei 6.871/1980; Lei 8.140/1990";https://www.gov.br/enap/
br-serpro;department;empresa_publica;executivo;4;Serviço Federal de Processamento de Dados;br-ministerio-da-gestao;"Lei 4.516/1964; Lei 5.615/1970";https://www.serpro.gov.br/
br-dataprev;department;empresa_publica;executivo;4;Empresa de Tecnologia e Informações da Previdência;br-ministerio-da-gestao;Lei 6.125/1974;https://www.dataprev.gov.br/
br-iphan;department;autarquia;executivo;4;Instituto do Patrimônio Histórico e Artístico Nacional;br-ministerio-da-cultura;Lei 8.113/1990;https://www.gov.br/iphan/
br-funarte;department;fundacao;executivo;4;Fundação Nacional de Artes;br-ministerio-da-cultura;Lei 6.312/1975;https://www.gov.br/funarte/
br-biblioteca-nacional;department;fundacao;executivo;4;Fundação Biblioteca Nacional;br-ministerio-da-cultura;"Lei 8.029/1990 art. 22; Decreto 8.297/2014";https://www.gov.br/bn/
br-ancine;department;agencia_reguladora;executivo;4;Agência Nacional do Cinema;br-ministerio-da-cultura;MP 2.228-1/2001;https://www.gov.br/ancine/
br-fundacao-cultural-palmares;department;fundacao;executivo;4;Fundação Cultural Palmares;br-ministerio-da-igualdade-racial;Lei 7.668/1988;https://www.gov.br/palmares/
br-marinha-do-brasil;department;forca_armada;executivo;3;Marinha do Brasil;br-ministerio-da-defesa;"CF/88 art. 142; LC 97/1999";https://www.marinha.mil.br/
br-exercito-brasileiro;department;forca_armada;executivo;3;Exército Brasileiro;br-ministerio-da-defesa;"CF/88 art. 142; LC 97/1999";https://www.eb.mil.br/
br-forca-aerea-brasileira;department;forca_armada;executivo;3;Força Aérea Brasileira;br-ministerio-da-defesa;"CF/88 art. 142; LC 97/1999";https://www.fab.mil.br/
br-imprensa-nacional;department;orgao_singular;executivo;3;Imprensa Nacional;br-casa-civil;Lei 14.600/2023 art. 3º;https://www.gov.br/imprensanacional/
br-iti;department;autarquia;executivo;4;Instituto Nacional de Tecnologia da Informação;br-casa-civil;MP 2.200-2/2001;https://www.gov.br/iti/
br-funag;department;fundacao;executivo;4;Fundação Alexandre de Gusmão;br-ministerio-das-relacoes-exteriores;Lei 5.717/1971;https://www.gov.br/funag/
br-mesa-da-camara-dos-deputados;commission;;legislativo;3;Mesa Diretora da Câmara dos Deputados;br-camara-dos-deputados;"CF/88 art. 57 §4º; RICD arts. 14-15";https://www.camara.leg.br/a-camara/estruturaadm/mesa
br-mesa-do-senado-federal;commission;;legislativo;3;Mesa do Senado Federal;br-senado-federal;"CF/88 art. 57 §§4º-5º; RISF arts. 46-48";https://www25.senado.leg.br/web/senadores/mesa-diretora
br-comissao-de-constituicao-e-justica-e-de-cidadania-da-camara;commission;;legislativo;3;Comissão de Constituição e Justiça e de Cidadania da Câmara;br-camara-dos-deputados;RICD art. 32 IV;https://www2.camara.leg.br/atividade-legislativa/comissoes/comissoes-permanentes/ccjc
br-comissao-de-financas-e-tributacao-da-camara;commission;;legislativo;3;Comissão de Finanças e Tributação da Câmara;br-camara-dos-deputados;RICD art. 32 X;https://www2.camara.leg.br/atividade-legislativa/comissoes/comissoes-permanentes/cft
br-comissao-de-constituicao-justica-e-cidadania-do-senado;commission;;legislativo;3;Comissão de Constituição, Justiça e Cidadania do Senado;br-senado-federal;RISF art. 101;https://legis.senado.leg.br/comissoes/comissao?codcol=34
br-comissao-de-assuntos-economicos-do-senado;commission;;legislativo;3;Comissão de Assuntos Econômicos do Senado;br-senado-federal;RISF art. 99;https://legis.senado.leg.br/comissoes/comissao?codcol=38
br-comissao-de-relacoes-exteriores-e-defesa-nacional-do-senado;commission;;legislativo;3;Comissão de Relações Exteriores e Defesa Nacional do Senado;br-senado-federal;"RISF art. 103; CF/88 art. 52 IV";https://legis.senado.leg.br/comissoes/comissao?codcol=54
br-comissao-de-infraestrutura-do-senado;commission;;legislativo;3;Comissão de Serviços de Infraestrutura do Senado;br-senado-federal;RISF art. 104;https://legis.senado.leg.br/comissoes/comissao?codcol=59
br-comissao-mista-de-orcamento;commission;;legislativo;3;Comissão Mista de Planos, Orçamentos Públicos e Fiscalização;br-congresso-nacional;"CF/88 art. 166 §1º; Resolução CN 1/2006";https://www.congressonacional.leg.br/materias/orcamento-da-uniao/cmo
br-ministerio-publico-da-uniao;department;ministerio_publico;essenciais;1;Ministério Público da União;;"CF/88 arts. 127-128; LC 75/1993";https://www.mpu.mp.br/
br-ministerio-publico-federal;department;ministerio_publico;essenciais;2;Ministério Público Federal;br-ministerio-publico-da-uniao;LC 75/1993 arts. 37-82;https://www.mpf.mp.br/
br-ministerio-publico-do-trabalho;department;ministerio_publico;essenciais;3;Ministério Público do Trabalho;br-ministerio-publico-da-uniao;LC 75/1993 arts. 83-115;https://mpt.mp.br/
br-ministerio-publico-militar;department;ministerio_publico;essenciais;3;Ministério Público Militar;br-ministerio-publico-da-uniao;LC 75/1993 arts. 116-148;https://www.mpm.mp.br/
br-ministerio-publico-do-distrito-federal-e-territorios;department;ministerio_publico;essenciais;3;Ministério Público do Distrito Federal e Territórios;br-ministerio-publico-da-uniao;LC 75/1993 arts. 149-181;https://www.mpdft.mp.br/
br-conselho-nacional-do-ministerio-publico;commission;;essenciais;2;Conselho Nacional do Ministério Público;;CF/88 art. 130-A;https://www.cnmp.mp.br/
br-defensoria-publica-da-uniao;department;defensoria;essenciais;2;Defensoria Pública da União;;"CF/88 art. 134; LC 80/1994";https://www.dpu.def.br/
br-advocacia-geral-da-uniao;department;advocacia;essenciais;2;Advocacia-Geral da União;;"CF/88 art. 131; LC 73/1993; Lei 14.600/2023 art. 47";https://www.gov.br/agu/
br-procuradoria-geral-da-uniao;department;advocacia;essenciais;3;Procuradoria-Geral da União;br-advocacia-geral-da-uniao;LC 73/1993 arts. 2º e 9º;https://www.gov.br/agu/pt-br/composicao/pgu
br-procuradoria-geral-federal;department;advocacia;essenciais;3;Procuradoria-Geral Federal;br-advocacia-geral-da-uniao;Lei 10.480/2002 arts. 9º-10;https://www.gov.br/agu/pt-br/composicao/pgf
br-procuradoria-geral-da-fazenda-nacional;department;advocacia;essenciais;3;Procuradoria-Geral da Fazenda Nacional;br-advocacia-geral-da-uniao;LC 73/1993 arts. 12-13;https://www.gov.br/pgfn/
br-tribunal-de-contas-da-uniao;department;tribunal;essenciais;2;Tribunal de Contas da União;;"CF/88 arts. 70-73; Lei 8.443/1992";https://portal.tcu.gov.br/
br-supremo-tribunal-federal;department;tribunal;judiciario;1;Supremo Tribunal Federal;;CF/88 arts. 101-103;https://portal.stf.jus.br/
br-conselho-nacional-de-justica;commission;;judiciario;2;Conselho Nacional de Justiça;;CF/88 art. 103-B;https://www.cnj.jus.br/
br-superior-tribunal-de-justica;department;tribunal;judiciario;2;Superior Tribunal de Justiça;;CF/88 arts. 104-105;https://www.stj.jus.br/
br-tribunal-superior-do-trabalho;department;tribunal;judiciario;2;Tribunal Superior do Trabalho;;CF/88 art. 111-A;https://www.tst.jus.br/
br-tribunal-superior-eleitoral;department;tribunal;judiciario;2;Tribunal Superior Eleitoral;;CF/88 arts. 118-121;https://www.tse.jus.br/
br-superior-tribunal-militar;department;tribunal;judiciario;2;Superior Tribunal Militar;;CF/88 arts. 122-124;https://www.stm.jus.br/
br-conselho-da-justica-federal;commission;;judiciario;3;Conselho da Justiça Federal;br-superior-tribunal-de-justica;"CF/88 art. 105, parágrafo único, II; Lei 11.798/2008";https://www.cjf.jus.br/
br-conselho-superior-da-justica-do-trabalho;commission;;judiciario;3;Conselho Superior da Justiça do Trabalho;br-tribunal-superior-do-trabalho;CF/88 art. 111-A §2º II;https://www.csjt.jus.br/
br-tribunal-regional-federal-da-1a-regiao;department;tribunal;judiciario;3;Tribunal Regional Federal da 1ª Região;br-superior-tribunal-de-justica;"CF/88 arts. 107-108; Lei 7.727/1989";https://www.trf1.jus.br/
br-tribunal-regional-federal-da-2a-regiao;department;tribunal;judiciario;3;Tribunal Regional Federal da 2ª Região;br-superior-tribunal-de-justica;"CF/88 arts. 107-108; Lei 7.727/1989";https://www.trf2.jus.br/
